Date, Employee Code ,Employee Name,Company ,Department,Category ,Degination,Grade,Team,Shift, In Time ,Out Time , Duration ,Late By ,Early By ,Status ,Punch Records ,Overtime
2024-01-22,1,1,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,2,2,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,3,3,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,4,4,Default,Default,Default,,,,Sam,00:59,,00:00,00:00,00:00,Absent (No OutPunch),00:59:in(TD) ,00:00
2024-01-22,5,5,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,6,6,Default,Default,Default,,,,Sam,01:17,,00:00,00:00,00:00,Absent (No OutPunch),01:17:in(TD) ,00:00
2024-01-22,7,7,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,8,8,Default,Default,Default,,,,Sam,00:45,,00:00,00:00,00:00,Absent (No OutPunch),00:45:in(TD) ,00:00
2024-01-22,9,9,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,10,10,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,11,11,Default,Default,Default,,,,Sam,00:56,,00:00,00:00,00:00,Absent (No OutPunch),00:56:in(TD) ,00:00
2024-01-22,12,12,Default,Default,Default,,,,Sam,00:56,,00:00,00:00,00:00,Absent (No OutPunch),00:56:in(TD) ,00:00
2024-01-22,13,13,Default,Default,Default,,,,Sam,00:56,,00:00,00:00,00:00,Absent (No OutPunch),00:56:in(TD) ,00:00
2024-01-22,14,14,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,15,15,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,16,16,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,17,17,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,18,18,Default,Default,Default,,,,Sam,00:47,,00:00,00:00,00:00,Absent (No OutPunch),00:47:in(TD) ,00:00
2024-01-22,19,19,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,20,20,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,21,21,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,22,22,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
2024-01-22,23,23,Default,Default,Default,,,,NS,,,00:00,00:00,00:00,Absent,,00:00
